"lang" 
{ 
	"Language" "ukrainian" 
		"Replay_NotAllVideoModesAvailable"		"* Для поточної роздільної здатності доступні не всі відеорежими. Щоб виправити це, виберіть вищу роздільну здатність у меню НАЛАШТУВАННЯ -> ГРАФІКА."

		"Replay_Res_480p"						"480p (720 x 480 x 23,976)"
		"Replay_Res_720p"						"720p (1280 x 720 x 23,967)"
		"Replay_Res_1080p"						"1080p (1920 x 1080 x 23,976)"
		"Replay_Res_Web"						"Веб (320 x 240 x 15)"
		"Replay_Res_iPhone_Horizontal"			"iPhone, горизонтальне (960 x 640 x 23,976)"
		"Replay_Res_iPhone_Vertical"			"iPhone, вертикальне (640 x 960 x 23,976)"
			
		"Month_1"						"січня"
		"Month_2"						"лютого"
		"Month_3"						"березня"
		"Month_4"						"квітня"
		"Month_5"						"травня"
		"Month_6"						"червня"
		"Month_7"						"липня"
		"Month_8"						"серпня"
		"Month_9"						"вересня"
		"Month_10"						"жовтня"
		"Month_11"						"листопада"
		"Month_12"						"грудня"

		"Replay_MovieRenderInfo"		"Роздільність:  %res%\nЧастота кадрів:  %framerate%\nЯкість розмиття:  %motionblurquality%\nКодек:  %codec%\nЯкість стиснення:  %encodingquality%\nЗгладжування:  %antialiasing%\nЧас на обробку:  %rendertime%\nНестиснені TGA/WAV:  %raw%"
		"Replay_Enabled"				"увімкнено"
		"Replay_Disabled"				"вимкнено"
		"Replay_RenderInfo"				"ВІДОМОСТІ ПРО ВІЗУАЛІЗАЦІЮ"

		"Replay_RewindWarningTitle"		"ПЕРЕМОТКА"
		"Replay_RewindWarningMsg"		"Перемотування може зайняти деякий час. Хоча у вас може запаморочитися голова, ви не втратите будь-яких внесених змін. Це повідомлення більше не з’явиться."

		"Replay_YouTubeURL"				"ПОСИЛАННЯ НА YOUTUBE"
		"Replay_Category"				"КАТЕГОРІЇ"
		
		"Replay_CleaningDisk"			"Здійснюється одноразове очищення непотрібних даних. Зачекайте хвильку…"
		
		"Replay_FirstRenderQueueAddTitle" "Черга на візуалізацію"
		"Replay_FirstRenderQueueAddMsg"	"Ви додали дубль до своєї черги на візуалізацію.\n\nВи можете додати кілька дублів, а потім зберегти їх водночас за допомогою кнопки «ЗБЕРЕГТИ ВСІ» у вікні огляду повторів."
	}
}
